Day,Period,Time,SubjectCode,SubjectName,Teachers,Room
Tue,3,11:10-12:05,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-2
Sat,6,1:55-2:50,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-2
Wed,2,9:55-10:50,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-5
Thu,0,8:00-8:55,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-5
Fri,1,9:00-9:55,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-5
Mon,7,3:10-4:05,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-2
Wed,5,1:00-1:55,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-2
Thu,4,12:05-1:00,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-5
Mon,6,1:55-2:50,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-5
Thu,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-5
Sat,4,12:05-1:00,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-5
Wed,6,1:55-2:50,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-2
Thu,1,9:00-9:55,PCS-409,DAA Lab,Dr. Hradesh Kumar,Lab-1
Mon,2,9:55-10:50,PCS-409,DAA Lab,Dr. Hradesh Kumar,LT-5
Sat,5,1:00-1:55,PCS-409,DAA Lab,Dr. Hradesh Kumar,LT-5
Fri,5,1:00-1:55,PCS-409,DAA Lab,Dr. Hradesh Kumar,Lab-1
Tue,5,1:00-1:55,PCS-408,Java Lab,Dr. Hradesh Kumar,Lab-2
Thu,6,1:55-2:50,PCS-408,Java Lab,Dr. Hradesh Kumar,Lab-2
Fri,4,12:05-1:00,PCS-403,Microprocessors Lab,Dr. Deepak Asrani,Lab-2
Tue,6,1:55-2:50,PCS-403,Microprocessors Lab,Dr. Deepak Asrani,Lab-2
Fri,2,9:55-10:50,,,Dr. Sribidhya Mohanty,Lab-2
Fri,0,8:00-8:55,,,Dr. Sribidhya Mohanty,Lab-2
