Day,Period,Time,SubjectCode,SubjectName,Teachers,Room
Sat,5,1:00-1:55,TCS-408,Programming in Java,Mr. Kireet Joshi,LT-5
Mon,0,8:00-8:55,TCS-408,Programming in Java,Mr. Kireet Joshi,LT-2
Wed,3,11:10-12:05,TCS-408,Programming in Java,Mr. Kireet Joshi,LT-2
Fri,0,8:00-8:55,TCS-408,Programming in Java,Mr. Kireet Joshi,LT-6
Mon,3,11:10-12:05,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-5
Tue,3,11:10-12:05,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-5
Thu,2,9:55-10:50,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-5
Sat,2,9:55-10:50,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-1
Tue,6,1:55-2:50,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-6
Fri,4,12:05-1:00,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-5
Wed,4,12:05-1:00,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-8
Mon,4,12:05-1:00,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-6
Wed,6,1:55-2:50,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-5
Fri,6,1:55-2:50,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-1
Fri,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-8
Wed,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-6
Wed,0,8:00-8:55,PCS-409,DAA Lab,Mr. Kuldeep Nautiyal & Mr. Priyanshu Rawat,Lab-1
Fri,3,11:10-12:05,PCS-409,DAA Lab,Mr. Kuldeep Nautiyal & Mr. Priyanshu Rawat,Lab-5
Wed,1,9:00-9:55,PCS-408,Java Lab,Mr. Kireet Joshi & Mr. Akash Chaudhary,Lab-1
Sat,1,9:00-9:55,PCS-408,Java Lab,Mr. Kireet Joshi & Mr. Akash Chaudhary,Lab-2
Mon,1,9:00-9:55,PCS-403,Microprocessors Lab,Dr. Gourav Verma,Lab-1
Sat,6,1:55-2:50,PCS-403,Microprocessors Lab,Dr. Gourav Verma,Lab-5
Fri,2,9:55-10:50,XCS-202,DSA,Dr. Prachi Juyal,LT-2
Tue,5,1:00-1:55,XCS-202,DSA,Dr. Prachi Juyal,LT-6
Tue,4,12:05-1:00,ABC-101,DS,Ms. Simran,Lab-2
Thu,0,8:00-8:55,ABC-101,DS,Ms. Simran,Lab-1
Wed,2,9:55-10:50,ABC-101,DS,Ms. Simran,Lab-2
Thu,1,9:00-9:55,ABC-101,DS,Ms. Simran,Lab-2
